Unnamed: 0,text,labels
32,"Незважаючи на всі її недоліки, я б залюбки з нею одружився.",1
161,"Щось тут занадто жарко, як в Африці!",0
158,"В супермаркетах мережі Новус є майже все, що потрібно для домашнього господарства",1
257,"Я не граю в бейсбол. Зате я бережу свою фізіономію. Тому м’яч було перехоплено за частки секунди до того, як він мав мені врізати межи очі.",1
269,Зазвичай ми приходимо перші й готуємо пульти до роботи.,2
190,"В нього апетит добрий, як у вовка, а шлунок міцний, як у койота.",1
77,"Досить важко знайти роботу професора в американському університеті, але в Європі це ще важче.",0
36,"Що вже поробиш, мабуть така його доля.",0
151,"Кенгуру живуть в Австралії, і мені б дуже хотілося їх побачити",1
39,"Це був не дуже цікавий фільм, тож ми пішли з кінотеатру майже одразу.",0
261,"Швидкість у них приблизно однакова — біля 80 миль на годину, залежно, хто подає!",2
314,Франческа вигнула чорну брову й подивилась на мене поверх окулярів.,2
159,"Віктор впертий як віслюк, він нізащо не погодиться змінити свою думку",0
169,"Не бійся, все буде добре!",1
118,"Олександра не впевнена в своїх почуттях щодо Віталія, тож поки що не згодна одружитися з ним.",0
16,"Він розмовляє англійською так добре, ніби то його рідна мова",1
177,Після тривалого перебування у воді у Петрика дуже болять вуха,0
144,Яке кінчене!,0
20,"Ні,не хочу, дякую",0
324,Тривала звичайна зміна. Ми проводили корекцію орбіт і якраз обробляли другий кейс.,2
96,"Наші білочки дуже радіють, коли отримують від нас горіхи та інші смаколики",1
41,"Ще не вмерла Україна, ні слава, ні воля!",1
215,Усе інше — сурогат і отрута;,0
199,"Рон боягуз, при найменшій небезпеці біжить як заяць.",0
183,Та невже ти не можеш хоч інколи помовчати?,0
241,"Мене полковник чомусь з першого дня кличе «кадетом», хоч для кадета я трохи старуватий.",2
129,Такими темпами ти не впораєшся з цією роботою до пізньої ночі,0
172,"Щоб отримати громадянство, вони повинні витратити безліч часу й грошей.",0
291,"Але Франческа в сенсі поведінки людина незвичайна, і подібне зауваження може викликати (і викличе) в неї потік сліз та ще, чого доброго, й депресію.",0
17,Ваш Вася сьогодні отримав двійку по математиці!,0
136,Саме так!,1
51,"А чи не забагато тобі буде три пляшки пива, ледарю?",0
260,"Ловити м’яча у софтболі — те саме, що й у бейсболі!",2
112,"Я сподіваюся, що через десять років люди вже не будуть їсти тварин або полювати за ними.",1
